"ID","Holle_ID","Language_ID","Parameter_ID","Form","English","Collapsed_Holle_ID_Being_Separated","Dutch_in_Single_Holle_ID","Swadesh","Source"
1,"1","id","1_1_BODY","badan, tubuh","body",NA,NA,FALSE,"holleli1980"
2,"2","id","2_2_HEAD","kepala","head",NA,NA,TRUE,"holleli1980"
3,"3","id","3_3_FACE","muka, wajah","face",NA,NA,FALSE,"holleli1980"
4,"4","id","4_4_FOREHEAD","dahi","forehead",NA,NA,FALSE,"holleli1980"
5,"5","id","5_5_SKULL","tempurung kepala","skull",NA,NA,FALSE,"holleli1980"
6,"6","id","6_6_HAIR","rambut","hair",NA,NA,TRUE,"holleli1980"
7,"7","id","7_7_BALD","gundul, botak","bald",NA,NA,FALSE,"holleli1980"
8,"8","id","8_8_CROWN (OF HEAD)","hulu kepala","crown",NA,NA,FALSE,"holleli1980"
9,"9","id","9_9_EAR","telinga","ear",NA,NA,TRUE,"holleli1980"
10,"10","id","10_10_EARWAX","tahi telinga","earwax",NA,NA,FALSE,"holleli1980"
11,"11","id","11_11_EYE","mata","eye",NA,NA,TRUE,"holleli1980"
12,"12","id","12_12_EYELID","kelopak mata","eyelid",NA,NA,FALSE,"holleli1980"
13,"13","id","13_13_EYELASH","bulu mata","eyelashes",NA,NA,FALSE,"holleli1980"
14,"14","id","14_14_EYEBROW","alis (jamak)","eyebrows",NA,NA,FALSE,"holleli1980"
15,"15","id","15_15_EYEBROW","alis (tunggal)","eyebrow",NA,NA,FALSE,"holleli1980"
16,"16","id","16_16_TEAR (OF EYE)","air mata (jamak)","tears",NA,NA,FALSE,"holleli1980"
17,"17","id","17_17_TEAR (OF EYE)","air mata (tunggal)","tear",NA,NA,FALSE,"holleli1980"
18,"18","id","18_18_NOSE","hidung","nose",NA,NA,TRUE,"holleli1980"
19,"19","id","19_19_NOSTRIL","lubang hidung","nostril",NA,NA,FALSE,"holleli1980"
20,"20","id","20_20_NASAL MUCUS (SNOT)","ingus","mucus",NA,NA,FALSE,"holleli1980"
21,"21","id","21_21_CHEEK","pipi","cheek",NA,NA,FALSE,"holleli1980"
22,"22","id","22_22_MOUTH","mulut","mouth",NA,NA,TRUE,"holleli1980"
23,"23","id","23_23_NA","mulut bagian luar","exterior part of the mouth",NA,NA,FALSE,"holleli1980"
24,"24","id","24_24_ORAL CAVITY","mulut bagian dalam","interior part of the mouth",NA,NA,FALSE,"holleli1980"
25,"25","id","25_25_LIP","bibir (jamak)","lips",NA,NA,FALSE,"holleli1980"
26,"26","id","26_26_LIP","bibir","lip",NA,NA,FALSE,"holleli1980"
27,"27","id","27_27_MOUSTACHE","kumis","moustache",NA,NA,FALSE,"holleli1980"
28,"28","id","28_28_BEARD","janggut seperti, janggut kambing","goatee",NA,NA,FALSE,"holleli1980"
29,"29","id","29_29_CHIN","dagu","chin",NA,NA,FALSE,"holleli1980"
30,"30","id","30_30_BEARD","janggut","beard",NA,NA,FALSE,"holleli1980"
31,"31","id","31_31_TONGUE","lidah","tongue",NA,NA,TRUE,"holleli1980"
32,"32","id","32_32_PALATE","langit-langit","palate",NA,NA,FALSE,"holleli1980"
33,"33","id","33_33_TOOTH","gigi","tooth",NA,NA,TRUE,"holleli1980"
34,"34","id","34_34_MOLAR TOOTH","geraham","molar",NA,NA,FALSE,"holleli1980"
35,"35","id","35_35_GUMS","gusi","gums",NA,NA,FALSE,"holleli1980"
36,"33/35","id","36_33/35_TOOTH","gigi","tooth","33","tand",FALSE,"holleli1980"
37,"33/35","id","37_33/35_GUMS","gusi","gums","35","tandvlees",FALSE,"holleli1980"
38,"36","id","38_36_BRAIN","otak","brains",NA,NA,FALSE,"holleli1980"
39,"37","id","39_37_THROAT","kerongkongan","throat",NA,NA,FALSE,"holleli1980"
40,"38","id","40_38_NECK","leher","neck",NA,NA,TRUE,"holleli1980"
41,"39","id","41_39_ADAM'S APPLE","jakun","Adam's apple",NA,NA,FALSE,"holleli1980"
42,"40","id","42_40_NAPE (OF NECK)","tengkuk","nape",NA,NA,FALSE,"holleli1980"
43,"41","id","43_41_CHEST","dada (laki-laki, jamak)","chest, breast (male)",NA,NA,TRUE,"holleli1980"
44,"42","id","44_42_BREAST","dada (perempuan, jamak)","breasts (female)",NA,NA,TRUE,"holleli1980"
45,"41/42","id","45_41/42_CHEST","dada (laki-laki, jamak)","chest, breast (male)","41","borsten (mannen)",TRUE,"holleli1980"
46,"41/42","id","46_41/42_BREAST","dada (perempuan, jamak)","breasts (female)","42","borsten (vrouwen)",TRUE,"holleli1980"
47,"43","id","47_43_BREAST","dada (tunggal)","breast",NA,NA,TRUE,"holleli1980"
48,"44","id","48_44_BREAST OR MILK","dada (perempuan, tunggal) susu, payudara","breast (female)",NA,NA,FALSE,"holleli1980"
49,"45","id","49_45_NIPPLE","puting susu","nipple",NA,NA,FALSE,"holleli1980"
50,"46","id","50_46_BREAST MILK","air susu","breast milk",NA,NA,FALSE,"holleli1980"
51,"47","id","51_47_BREAST MILK","air susu","breast milk",NA,NA,FALSE,"holleli1980"
52,"48","id","52_48_SUCKLE (BREASTFEED, NURSE)","menyusu","to suck at the breast",NA,NA,FALSE,"holleli1980"
53,"49","id","53_49_SUCKLE (BREASTFEED, NURSE)","menyusui","to suckle",NA,NA,FALSE,"holleli1980"
54,"50","id","54_50_RIB","tulang rusuk","rib",NA,NA,FALSE,"holleli1980"
55,"51","id","55_51_LUNG","paru-paru","lung",NA,NA,FALSE,"holleli1980"
56,"52","id","56_52_HEART","jantung","heart",NA,NA,TRUE,"holleli1980"
57,"53","id","57_53_STOMACH","lambung","stomach",NA,NA,FALSE,"holleli1980"
58,"54","id","58_54_BELLY","perut","belly",NA,NA,TRUE,"holleli1980"
59,"55","id","59_55_INTESTINES","usus","intestines",NA,NA,TRUE,"holleli1980"
60,"56","id","60_56_LIVER","hati","liver",NA,NA,TRUE,"holleli1980"
61,"57","id","61_57_BILE","empedu","bile",NA,NA,FALSE,"holleli1980"
62,"58","id","62_58_SPLEEN","limpa","spleen",NA,NA,FALSE,"holleli1980"
63,"59","id","63_59_KIDNEY","buah pinggang, ginjal","kidney",NA,NA,FALSE,"holleli1980"
64,"60","id","64_60_SIDE (BODY)","sisi badan","side",NA,NA,FALSE,"holleli1980"
65,"61","id","65_61_NAVEL","pusat","navel",NA,NA,FALSE,"holleli1980"
66,"62","id","66_62_UMBILICAL CORD","tali pusat","umbilical cord",NA,NA,FALSE,"holleli1980"
67,"63","id","67_63_BACK","belakang, punggung","back",NA,NA,TRUE,"holleli1980"
68,"64","id","68_64_SPINE","tulang belakang","backbone, spine",NA,NA,FALSE,"holleli1980"
69,"65","id","69_65_SHOULDER","bahu","shoulder",NA,NA,FALSE,"holleli1980"
70,"66","id","70_66_SHOULDERBLADE","tulang belikat","shoulderblade",NA,NA,FALSE,"holleli1980"
71,"67","id","71_67_BUTTOCKS","pantat posterior","buttocks",NA,NA,FALSE,"holleli1980"
72,"68","id","72_68_BUTTOCKS","pantat bagian kiri atau kanan","buttock",NA,NA,FALSE,"holleli1980"
