"ID","Name","Concepticon_Gloss","Concepticon_ID"
"1_BODY","body","BODY",1480
"2_HEAD","head","HEAD",1256
"3_FACE","face","FACE",1560
"4_FOREHEAD","forehead","FOREHEAD",123
"5_SKULL","skull","SKULL",1605
"6_HAIR","hair","HAIR",1040
"7_BALD","bald","BALD",1125
"8_CROWN (OF HEAD)","crown","CROWN (OF HEAD)",1943
"9_EAR","ear","EAR",1247
"10_EARWAX","earwax","EARWAX",32
"11_EYE","eye","EYE",1248
"12_EYELID","eyelid","EYELID",17
"13_EYELASH","eyelashes","EYELASH",1540
"14_EYEBROW","eyebrows","EYEBROW",1173
"15_EYEBROW","eyebrow","EYEBROW",1173
"16_TEAR (OF EYE)","tears","TEAR (OF EYE)",1651
"17_TEAR (OF EYE)","tear","TEAR (OF EYE)",1651
"18_NOSE","nose","NOSE",1221
"19_NOSTRIL","nostril","NOSTRIL",1178
"20_NASAL MUCUS (SNOT)","mucus","NASAL MUCUS (SNOT)",208
"21_CHEEK","cheek","CHEEK",1730
"22_MOUTH","mouth","MOUTH",674
"23_NA","exterior part of the mouth",NA,NA
"24_ORAL CAVITY","interior part of the mouth","ORAL CAVITY",2674
"25_LIP","lips","LIP",478
"26_LIP","lip","LIP",478
"27_MOUSTACHE","moustache","MOUSTACHE",1165
"28_BEARD","goatee","BEARD",678
"29_CHIN","chin","CHIN",1510
"30_BEARD","beard","BEARD",678
"31_TONGUE","tongue","TONGUE",1205
"32_PALATE","palate","PALATE",540
"33_TOOTH","tooth","TOOTH",1380
"34_MOLAR TOOTH","molar","MOLAR TOOTH",1049
"35_GUMS","gums","GUMS",139
"36_BRAIN","brains","BRAIN",1583
"37_THROAT","throat","THROAT",1346
"38_NECK","neck","NECK",1333
"39_ADAM'S APPLE","Adam's apple","ADAM'S APPLE",802
"40_NAPE (OF NECK)","nape","NAPE (OF NECK)",1347
"41_CHEST","chest, breast (male)","CHEST",1592
"42_BREAST","breasts (female)","BREAST",1402
"43_BREAST","breast","BREAST",1402
"44_BREAST OR MILK","breast (female)","BREAST OR MILK",2129
"45_NIPPLE","nipple","NIPPLE",796
"46_BREAST MILK","breast milk","BREAST MILK",3912
"47_BREAST MILK","breast milk","BREAST MILK",3912
"48_SUCKLE (BREASTFEED, NURSE)","to suck at the breast","SUCKLE (BREASTFEED, NURSE)",2472
"49_SUCKLE (BREASTFEED, NURSE)","to suckle","SUCKLE (BREASTFEED, NURSE)",2472
"50_RIB","rib","RIB",801
"51_LUNG","lung","LUNG",688
"52_HEART","heart","HEART",1223
"53_STOMACH","stomach","STOMACH",819
"54_BELLY","belly","BELLY",1251
"55_INTESTINES","intestines","INTESTINES",1991
"56_LIVER","liver","LIVER",1224
"57_BILE","bile","BILE",1780
"58_SPLEEN","spleen","SPLEEN",1744
"59_KIDNEY","kidney","KIDNEY",489
"60_SIDE (BODY)","side","SIDE (BODY)",3344
"61_NAVEL","navel","NAVEL",1838
