GLOSS	NUMBER
body	1
head	2
face	3
forehead	4
skull	5
hair	6
bald	7
crown	8
ear	9
earwax	10
eye	11
eyelid	12
eyelashes	13
eyebrows	14
eyebrow	15
tears	16
tear	17
nose	18
nostril	19
mucus	20
cheek	21
mouth	22
exterior part of the mouth	23
interior part of the mouth	24
lips	25
lip	26
moustache	27
goatee	28
chin	29
beard	30
tongue	31
palate	32
tooth	33
molar	34
gums	35
brains	36
throat	37
neck	38
Adam's apple	39
nape	40
chest, breast (male)	41
breasts (female)	42
breast	43
breast (female)	44
nipple	45
breast milk	46
breast milk	47
to suck at the breast	48
to suckle	49
rib	50
lung	51
heart	52
stomach	53
belly	54
intestines	55
liver	56
bile	57
spleen	58
kidney	59
side	60
navel	61
umbilical cord	62
back	63
backbone, spine	64
shoulder	65
shoulderblade	66
buttocks	67
buttock	68
posterior, buttocks	69
tailbone, coccyx	70
anus	71
to defecate	72
faeces	73
fart	74
to fart	75
to stink, to smell	76
penis	77
vagina	78
testicle	79
to have intercourse	80
to couple	81
to urinate	82
piss, urine	83
leg	84
foot (plus lower leg)	85
foot	86
sole of the foot	87
ankle	88
heel	89
thigh	90
knee	91
back of the knee	92
calf	93
shin	94
arm	95
hand plus fore-arm	96
hand	97
upper arm	98
armpit	99
elbow	100
wrist	101
palm of the hand	102
lines in the palm of the hand	103
finger	104
fingers	105
toe	106
(finger)nail	107
thumb	108
index finger	109
middle finger	110
ring finger	111
little finger	112
the big toe	113
the little toe	114
bone	115
blood	116
flesh	117
tendon	118
nerve	119
sinew, nerve	120
skin	121
body hair	122
body hair (animal)	123
sweat	124
saliva	125
phlegm	126
to breath	127
to eat	128
hungry	129
to drink	130
drunk	131
thirsty	132
satisfied	133
replete, satisfied	134
to bite	135
to swallow down	136
to swallow	137
to sleep	138
to dream	139
dream	140
sleepy	141
to wake up	142
to get up	143
to stand	144
to walk	145
to lie supine	146
to lie prone	147
to lie	148
to sit (on a chair)	149
to sit (with the legs crossed)	150
to sit (with the knees bent to one side)	151
to squat	152
to swim	153
to take a bath	154
to wash	155
to stammer	156
to speak with a burr	157
voice	158
hoarse	159
to shout	160
to laugh	161
to laugh at	162
to weep	163
to weep for	164
to smile	165
to sigh	166
to spit	167
to vomit	168
to sneeze	169
to cough	170
to hiccup	171
hiccups	172
to choke	173
belch	174
to belch	175
to yawn	176
to nod	177
pregnant	178
to be born	179
after birth	180
twins	181
to live (alive)	182
to die	183
death	184
dead	185
the deceased	186
liquid formed during decomposition of body	187
corpse	188
coffin	189
to bury	190
grave	191
to kill	192
to inherit	193
inheritance	194
to wound	195
wound	196
an infected wound	197
scar	198
ill	199
to be ill	200
to (be in) pain	201
healthy	202
boil	203
to be feverish	204
fever	205
to have a stomach ache	206
stomach ache	207
to have diarrhoea	208
diarrhoea	209
small pox	210
measles	211
swelling, swollen	212
goitre	213
eruption (of rash)	214
ichthyosis, tinea	215
framboesia	216
scabies	217
leprosy	218
headache	219
rheumatism	220
to have a cold	221
a cold	222
gone to sleep (limbs)	223
cramp	224
paralysed	225
crippled	226
mute	227
deaf	228
blind	229
to shut the eyes	230
squinting	231
cured	232
medicine	233
medicine (with magic power)	234
doctor (medicine man)	235
man, mankind	236
people	237
people	238
name	239
nickname	240
man	241
woman	242
male (human)	243
male (animal)	244
female (human)	245
female (animal)	246
youth (male)	247
virgin	248
virginity	249
boy, lad	250
young girl	251
girl	252
old man	253
old woman	254
father	255
mother	256
oldest child	257
youngest child	258
little child (male)	259
little child (female)	260
son	261
daughter	262
grandfather	263
grandmother	264
great-great-grandparents	265
great-grandparents	266
ancestors	267
brother	268
sister	269
older brother	270
older sister	271
younger brother	272
younger sister	273
grandchild	274
uncle FB	275
uncle MB	276
uncle FBo	277
uncle FBy	278
uncle MBo	279
uncle MBy	280
aunt FZ	281
aunt MZ	282
aunt FZo	283
aunt FZy	284
aunt MZo	285
aunt MZy	286
nephew BoS	287
nephew ByS	288
nephew ZoS	289
nephew ZyS	290
niece BoD	291
niece ByD	292
niece ZoD	293
niece ZyD	294
cousin FB/FZS MB/MZS	295
cousin FB/FZD MB/MZD	296
parents-in-law	297
respective parents of the married couple	298
son-in-law	299
daughter-in-law	300
son or daughter-in-law	301
stepson	302
stepdaughter	303
stepparents	304
adopted child	305
brother-in-law WB	306
brother-in-law HB	307
brother-in-law WZH	308
brother-in-law HZH	309
brother-in-law	310
sister-in-law HZ	311
sister-in-law WZ	312
sister-in-law HBW	313
sister-in-law WBW	314
related	315
unrelated	316
husband	317
wife	318
friend	319
comrade, friend	320
comrade, mate	321
friend (female)	322
guest	323
guest, stranger	324
village	325
country	326
town (capital)	327
main village	328
hamlet	329
people (tribe)	330
sorcerer	331
talisman	332
incantation	333
magic wand	334
magic book	335
sacred, magic writings	336
idol	337
omen	338
ghost	339
spirit	340
evil spirit	341
vampire (witch, werewolf)	342
soul, spirit	343
soul, ghost	344
the supreme being	345
religion	346
to worship	347
vital spirit, vitality	348
god	349
statue representing an ancestor/ancestors	350
writing	351
letter	352
paper	353
letter	354
book	355
story	356
history, legend	357
poem	358
tune, melody	359
heaven	360
hell	361
underworld	362
underworld	363
the upper world	364
population	365
the afterlife	366
virtue	367
sin	368
forbidden	369
forbidden, taboo	370
priest	371
priestess	372
shaman	373
temple	374
holy place	375
settlement	376
town hall	377
king	378
a sort of first minister	379
mantri	380
guard	381
(sacred) place (held In awe)	382
village hall	383
men's house	384
women's house	385
village head	386
chieftain	387
nobleman	388
village elders	389
warrior	390
happiness	391
unhappiness	392
free man	393
slave	394
custom	395
common law	396
criminal	397
to judge	398
to punish	399
fine	400
witness	401
judge	402
credit bondsman	403
funeral ceremony	404
to circumcise	405
filing of the teeth	406
to marry, to take a wife, marriage	407
to marry, to take a husband, marriage	408
to give in marriage	409
to divorce	410
bride price	411
betrothal	412
to give birth to	413
midwife	414
to commit adultery	415
prostitute	416
dancing girl	417
mask	418
violin	419
flute	420
drum	421
tambourine	422
xylophone	423
gong	424
conch shell	425
Jew's harp	426
horn	427
to dance	428
song	429
riddle	430
to ask a riddle	431
to play	432
top	433
to spin a top	434
to hop	435
to kick/to hit a person on the calves (k.o. play)	436
house	437
hut, shelter	438
roof	439
ridge of roof	440
roofing: thatch	441
roofing: bamboo lath	442
roofing: wood	443
roofing: bark	444
roofing: other materials	445
rafter	446
porch	447
door opening	448
door	449
window opening	450
window	451
corner	452
staircase, steps	453
ladder	454
to climb into a house	455
floor (made from bamboo lath)	456
floor (made from wood)	457
wall (plank wall)	458
wall (bamboo wall)	459
midrib of palm frond	460
main posts	461
ceiling beams	462
bed	463
curtain	464
sleeping place	465
small room	466
cylindrical bolster	467
sleeping mat	468
pillow	469
couch	470
front verandah	471
attic (under the roof)	472
rack above the  fireplace	473
hearth, fireplace	474
fire	475
fire	476
to make a fire	477
to extinguish (with water)	478
to extinguish	479
to blow on a fire	480
extinguished	481
smoke	482
ashes	483
fire wood	484
to put on (light)	485
to put off (light)	486
space under the house	487
bed curtain	488
bench, seat	489
to build	490
to pull down (house)	491
coconut shell	492
pot (iron)	493
pot (earthenware)	494
rice kettle (copper)	495
rice kettle (earthenware)	496
dish	497
cup	498
drinking bowl	499
(tea) pot	500
saucer (earthenware)	501
small saucer (earthenware)	502
copper saucer	503
copper dish	504
knife	505
chopper	506
kris	507
dagger	508
axe, hatchet	509
spoon	510
ladle	511
bamboo water container	512
to fetch water	513
basket (all sorts of)	514
lamp	515
lamp wick	516
torch	517
case	518
box, case	519
case for cloth	520
cooking pot	521
pot, jar	522
to fire pottery	523
earthen water barrel	524
to cook in bamboo container	525
to cook (in pot)	526
to steam	527
to bake, to grill, to fry	528
to roast (in ashes)	529
to grill, to roast	530
to bake	531
done	532
half done	533
food	534
provisions	535
side-dish	536
vegetables	537
meat	538
meat (raw)	539
dried meat	540
fish	541
rice plant	542
harvested rice	543
husked rice	544
cooked rice	545
unhusked rice	546
stalk	547
ear of rice, corn	548
rice barn	549
rice pounder, mortar	550
pounder	551
to pound	552
sieve for rice	553
chaff	554
to grind	555
rice porridge	556
sago flour	557
sago porridge	558
baked sago	559
cake	560
porridge	561
black pepper	562
salt	563
coconut pulp	564
sarong	565
cloth	566
trousers	567
kebaya	568
jacket (for women)	569
jacket (for men)	570
head cloth (for women)	571
head cloth (for men)	572
comb	573
fine tooth comb	574
finger ring	575
ring	576
waist belt/band	577
metal waist band	578
arm ring, bracelet	579
anklet	580
arm ring (upper arm)	581
earring	582
earclip	583
necklace	584
bead	585
shawl	586
sarong used as a sling	587
loin cloth	588
cotton fabric (local, European)	589
silk	590
woollen fabric	591
flannel	592
to weave	593
loom (meed)	594
loom (weaving spool)	595
loom (warp)	596
loom (weft)	597
bark cloth	598
to pound bark cloth	599
to weave, to plait	600
to twine a rope	601
rope	602
thread, yarn	603
to knot, to knit	604
bag (woven bag)	605
bag (made from rope)	606
sword	607
sabre	608
sheath	609
to chip, cut, slash	610
pike, lance, javelin	611
blow-pipe	612
bow	613
bowstring	614
arrow	615
quiver	616
shield	617
flag	618
kind of small cannon	619
rifle	620
gun powder	621
bullet	622
to shoot	623
sling	624
to wage war	625
war	626
enemy	627
cannon	628
to go head hunting	629
peace	630
fortification	631
defeated	632
to gain the victory, to win	633
to surrender	634
victory	635
prisoner of war	636
delegate	637
tribute	638
tribute <as a mark of respect >	639
tax	640
to farm	641
plough	642
coulter	643
rake	644
dibble	645
to make a hole (with a dibble in the ground)	646
spade	647
trowel (a small trowel)	648
knife for cutting grass	649
sickle	650
knife for cutting rice plant	651
hoe	652
garden	653
rice-field (wet, sawah)	654
rice-field (dry)	655
small dike in rice-field	656
irrigation	657
water-course channel	658
fence, hedge	659
vegetation	660
planting, recently planted crop, a newly established garden	661
to sow (placing the seeds in holes in the ground)	662
to sow (scattering the seeds about)	663
seed	664
to plant	665
to thresh with the feet	666
seed-rice	667
ripe	668
unripe	669
to harvest	670
to reap	671
to gather	672
to pick	673
maize, corn	674
millet	675
beans and peas	676
beans	677
bean	678
cucumber	679
pumpkin	680
tobacco	681
sugarcane	682
peanut	683
onion	684
gourd	685
species of tuber	686
sweet potato	687
cassava	688
taro	689
red pepper	690
coconut (tree)	691
coconut (fruit)	692
coconut (other parts of the tree)	693
breadfruit tree and breadfruit	694
sugarpalm, aren tree	695
lontar tree	696
palm Juice (unfermented)	697
palm wine (fermented)	698
palmwine	699
syrup	700
sugar	701
nipa palm	702
sago tree	703
sago	704
cotton	705
kapok	706
pandanus	707
mango	708
Artocarpus integrifolia, Jack fruit	709
Nephelium lappaceum	710
Durio zibethinus	711
Eugenia	712
Lansium domesticum	713
Averrhoa carambola, carambola	714
Averrhoa blimbi	715
banana	716
banana (wild)	717
banana (fruit)	718
species of citrus fruit	719
orange	720
grape fruit	721
lemon	722
coffee	723
indigo (plant)	724
indigo (dye)	725
Uncaria gambir	726
Morinda atrocarpus	727
lime	728
Curcuma domestica	729
ginger	730
rattan, cane	731
bamboo	732
bamboo shoot, young sprout	733
tree	734
wood	735
to climb a tree	736
to climb	737
to cut down	738
branch	739
twig	740
the heart of the tree	741
main root, taproot	742
side-root	743
fibrous root	744
liana	745
leaf	746
falling of the leaves	747
bark	748
thorn, spine	749
sap	750
gum	751
Areca catechu LINN	752
betel	753
resin	754
resin (from the damar tree)	755
damar tree	756
sprout	757
flower	758
fruit	759
to bear fruit	760
rind, peel	761
to peel	762
pip, stone	763
the flesh of the fruit	764
bunch	765
oil	766
moss	767
