Index	Dutch	English	Indonesian
1522	wanneer worden deze velden beplant?	when will these fields be planted?	kapan tanah ini akan ditanami?
1523	wordt er rijst geplant op die velden?	will rice be planted in these fields?	apakah padi yang akan ditanam di tanah itu?
1524	zoveel wil ik niet betaalmiddel	I do not want to pay so much	saya tidak mau membayar sebanyak itu
1525	ik geef tabak als betalen	I shall pay in tobacco	saya memberikan tembakau sebagai alat penukar
1526	verkoop ons die goederen	sell us these goods	juallah barang ini kepada kami
1527	zij kopen van ons allerlei zaken	they buy all sorts of things from us	mereka membeli dari kami bermacam-macam barang
1528	wie is door den vorst tot afgezant aangesteld?	who has been appointed delegate by the king?	siapa yang diangkat sebagai utusan oleh raja?
1529	over hoeveel lieden regeert uw vorst?	over how many people does your king reign?	berapa jumlah rakyat yang diperintah oleh raja anda?
1530	deze rivier is niet te bevaren	this river is unnavigable	sungai ini tak terlayari
1531	hoe lang varen is het tot aan zee?	how long does it take to reach the sea by boat?	berapa lama kita harus berlayar hingga sampai ke laut?
1532	er is geen brug; hoe kan ik de rivier oversteken?	there is no bridge; how can I cross the river?	tidak ada jembatan; bagaimana saya dapat menyeberangi sungai?
1533	elke dag gaan wij vruchten zoeken in het bos	everyday we look for fruits in the forest	setiap hari kami pergi mencari buah-buahan di hutan
1534	ik wil voor mijn paard gras zoeken	I want to find grass for my horse	saya ingin mencari rumput untuk kuda saya
1535	hoeveel dagen heeft het niet geregend?	how many days has it been since it rained?	sudah berapa hari hujan tidak turun?
1536	het is niet waar wat zij van ons zeggen	it is not true what they say about us	tidak benar apa yang mereka katakan tentang kami
1537	de weg splitst zich, waarheen moeten wij gaan?	the road forks, which way should we go?	jalan bercabang dua, ke mana kami harus pergi?
1538	wie kan deze kist dragen?	who can carry this chest?	siapa yang mampu memikul peti ini?
1539	haal water om mijn kleren te wassen	bring water to wash try clothes	ambil air untuk mencuci pakaian saya
1540	vraag hem om een paar kippen, misschien geeft hij ze	ask him for a few chickens perhaps he will give them	minta kepada dia beberapa ekor ayam, barangkali ia akan memberikannya
1541	wie mij niet volgen kan moet hier blijven	whoever can not keep up, should stay here	siapa yang tidak sanggup mengikuti saya, harus tinggal di sini
1542	ik laat hier twee mannen achter	here I am leaving two men behind	saya meninggalkan dua orang di sini
1543	na de dood van de koning brak een oorlog uit	war broke out after the death of the king	perang timbul setelah kematlan raja
1544	wie heeft in de oorlog overwonnen?	who won the war?	siapa yang menang dalam peperangan itu?
1545	waardoor zijn deze lieden ziek geworden?	what made these people ill?	apa yang menyebabkan orang-orang ini menjadi sakit?
1546	er is iemand die u genezen kan	there is someone who can make you better	ada orang yang dapat menyembuhkan anda
